customer_id,customer_name,city,segment,signup_date
69,Customer 069,Bengaluru,Small Business,2025-06-29
70,Customer 070,Kolkata,Consumer,2024-07-09
71,Customer 071,Ahmedabad,Consumer,2026-02-14
72,Customer 072,Kolkata,Corporate,2025-07-09
73,Customer 073,Chennai,Consumer,2025-10-26
74,Customer 074,Hyderabad,Consumer,2026-01-12
75,Customer 075,Hyderabad,Corporate,2025-09-23
76,Customer 076,Ahmedabad,Consumer,2024-02-17
77,Customer 077,Kolkata,Consumer,2025-04-11
78,Customer 078,Mumbai,Consumer,2025-12-09
79,Customer 079,Ahmedabad,Consumer,2024-12-15
80,Customer 080,Pune,Consumer,2024-10-27
81,Customer 081,Bengaluru,Consumer,2024-07-10
82,Customer 082,Ahmedabad,Consumer,2025-11-08
83,Customer 083,Bengaluru,Corporate,2026-03-27
84,Customer 084,Delhi,Consumer,2025-05-02
85,Customer 085,Pune,Small Business,2024-03-14
86,Customer 086,Bengaluru,Consumer,2026-02-26
87,Customer 087,Hyderabad,Corporate,2025-01-11
88,Customer 088,Delhi,Consumer,2026-03-18
89,Customer 089,Delhi,Small Business,2025-04-07
90,Customer 090,Delhi,Corporate,2024-10-23
91,Customer 091,Delhi,Small Business,2024-12-28
92,Customer 092,Mumbai,Corporate,2024-10-05
93,Customer 093,Kolkata,Consumer,2025-07-14
94,Customer 094,Pune,Consumer,2026-01-17
95,Customer 095,Delhi,Consumer,2026-01-06
96,Customer 096,Bengaluru,Consumer,2025-06-28
97,Customer 097,Ahmedabad,Consumer,2025-06-17
98,Customer 098,Hyderabad,Consumer,2024-07-11
99,Customer 099,Bengaluru,Corporate,2024-05-07
100,Customer 100,Ahmedabad,Consumer,2026-03-29
101,Customer 101,Pune,Consumer,2025-04-28
102,Customer 102,Bengaluru,Small Business,2025-09-04
103,Customer 103,Pune,Consumer,2026-03-30
104,Customer 104,Chennai,Consumer,2025-04-01
105,Customer 105,Ahmedabad,Corporate,2025-09-10
106,Customer 106,Pune,Corporate,2024-01-27
107,Customer 107,Chennai,Consumer,2025-07-25
108,Customer 108,Ahmedabad,Small Business,2025-03-05
109,Customer 109,Hyderabad,Consumer,2025-08-27
110,Customer 110,Hyderabad,Small Business,2024-01-24
111,Customer 111,Bengaluru,Small Business,2024-05-16
112,Customer 112,Mumbai,Consumer,2024-04-13
113,Customer 113,Hyderabad,Consumer,2025-02-10
114,Customer 114,Ahmedabad,Corporate,2025-09-14
115,Customer 115,Chennai,Small Business,2025-07-03
116,Customer 116,Pune,Consumer,2025-11-07
117,Customer 117,Delhi,Consumer,2024-06-28
118,Customer 118,Pune,Corporate,2025-04-21
119,Customer 119,Chennai,Consumer,2025-09-09
120,Customer 120,Bengaluru,Consumer,2025-09-15
121,Customer 121,Bengaluru,Consumer,2024-10-19
122,Customer 122,Kolkata,Consumer,2024-06-26
123,Customer 123,Bengaluru,Consumer,2024-09-04
124,Customer 124,Bengaluru,Consumer,2025-10-01
125,Customer 125,Hyderabad,Consumer,2024-09-28
126,Customer 126,Hyderabad,Consumer,2024-01-10
127,Customer 127,Hyderabad,Consumer,2026-02-01
128,Customer 128,Ahmedabad,Small Business,2025-07-17
129,Customer 129,Mumbai,Consumer,2025-09-09
130,Customer 130,Ahmedabad,Corporate,2024-06-01
131,Customer 131,Hyderabad,Consumer,2024-03-15
132,Customer 132,Kolkata,Consumer,2025-04-01
133,Customer 133,Mumbai,Corporate,2024-05-20
134,Customer 134,Bengaluru,Consumer,2024-02-13
135,Customer 135,Hyderabad,Small Business,2025-05-13
136,Customer 136,Ahmedabad,Corporate,2024-06-22
137,Customer 137,Mumbai,Corporate,2025-06-26
138,Customer 138,Ahmedabad,Consumer,2024-12-15
139,Customer 139,Mumbai,Corporate,2025-02-27
140,Customer 140,Delhi,Consumer,2024-07-31
141,Customer 141,Bengaluru,Corporate,2025-10-17
142,Customer 142,Pune,Consumer,2025-08-15
143,Customer 143,Chennai,Small Business,2024-12-19
144,Customer 144,Delhi,Consumer,2024-07-26
145,Customer 145,Chennai,Corporate,2025-10-30
146,Customer 146,Pune,Consumer,2025-01-30
147,Customer 147,Ahmedabad,Small Business,2025-10-25
148,Customer 148,Kolkata,Consumer,2025-12-17
149,Customer 149,Chennai,Small Business,2026-03-04
150,Customer 150,Bengaluru,Corporate,2024-08-21
151,Customer 151,Kolkata,Corporate,2025-11-11
152,Customer 152,Delhi,Corporate,2024-06-21
153,Customer 153,Pune,Consumer,2025-01-11
154,Customer 154,Mumbai,Corporate,2024-09-13
155,Customer 155,Pune,Small Business,2025-10-03
156,Customer 156,Hyderabad,Small Business,2025-03-13
157,Customer 157,Pune,Consumer,2024-11-25
158,Customer 158,Bengaluru,Consumer,2024-01-26
159,Customer 159,Ahmedabad,Consumer,2024-04-22
160,Customer 160,Bengaluru,Consumer,2024-04-15
161,Customer 161,Ahmedabad,Corporate,2025-07-02
162,Customer 162,Bengaluru,Corporate,2025-08-17
163,Customer 163,Delhi,Corporate,2025-08-26
164,Customer 164,Mumbai,Small Business,2024-03-19
165,Customer 165,Chennai,Small Business,2025-06-17
166,Customer 166,Mumbai,Small Business,2025-12-18
167,Customer 167,Mumbai,Small Business,2025-09-16
168,Customer 168,Mumbai,Corporate,2024-05-27
169,Customer 169,Delhi,Small Business,2024-07-07
170,Customer 170,Hyderabad,Consumer,2025-05-20
171,Customer 171,Mumbai,Consumer,2024-12-01
172,Customer 172,Mumbai,Consumer,2024-01-25
173,Customer 173,Delhi,Corporate,2025-02-17
174,Customer 174,Chennai,Corporate,2025-09-06
175,Customer 175,Delhi,Consumer,2024-12-21
176,Customer 176,Bengaluru,Consumer,2025-01-13
177,Customer 177,Kolkata,Corporate,2024-03-08
178,Customer 178,Ahmedabad,Corporate,2024-02-07
179,Customer 179,Bengaluru,Consumer,2024-01-01
180,Customer 180,Ahmedabad,Small Business,2025-05-21
181,Customer 181,Chennai,Small Business,2026-02-28
182,Customer 182,Bengaluru,Consumer,2025-11-13
183,Customer 183,Bengaluru,Small Business,2025-02-15
184,Customer 184,Pune,Consumer,2024-03-24
185,Customer 185,Bengaluru,Corporate,2024-09-26
186,Customer 186,Ahmedabad,Small Business,2024-03-18
187,Customer 187,Chennai,Corporate,2024-08-01
188,Customer 188,Chennai,Small Business,2025-01-19
189,Customer 189,Delhi,Consumer,2025-09-27
190,Customer 190,Pune,Corporate,2025-04-10
191,Customer 191,Kolkata,Consumer,2024-09-06
192,Customer 192,Kolkata,Small Business,2025-07-09
193,Customer 193,Ahmedabad,Consumer,2025-10-14
194,Customer 194,Chennai,Corporate,2025-04-07
195,Customer 195,Hyderabad,Consumer,2025-05-29
196,Customer 196,Chennai,Small Business,2024-10-11
197,Customer 197,Bengaluru,Consumer,2025-03-18
198,Customer 198,Mumbai,Consumer,2025-02-25
199,Customer 199,Hyderabad,Consumer,2025-05-02
200,Customer 200,Bengaluru,Consumer,2026-02-20
201,Customer 201,Hyderabad,Consumer,2024-05-22
202,Customer 202,Ahmedabad,Small Business,2025-01-15
203,Customer 203,Mumbai,Consumer,2024-12-30
204,Customer 204,Hyderabad,Corporate,2024-09-06
205,Customer 205,Kolkata,Consumer,2024-10-26
206,Customer 206,Ahmedabad,Consumer,2026-03-26
207,Customer 207,Mumbai,Corporate,2024-01-23
208,Customer 208,Mumbai,Corporate,2026-01-22
209,Customer 209,Pune,Small Business,2025-07-31
210,Customer 210,Kolkata,Small Business,2024-09-25
211,Customer 211,Hyderabad,Consumer,2024-07-05
212,Customer 212,Delhi,Consumer,2024-04-24
213,Customer 213,Kolkata,Corporate,2024-03-19
214,Customer 214,Ahmedabad,Consumer,2025-04-08
215,Customer 215,Pune,Consumer,2025-08-12
216,Customer 216,Chennai,Corporate,2024-04-30
217,Customer 217,Delhi,Consumer,2024-12-23
218,Customer 218,Delhi,Small Business,2024-10-01
219,Customer 219,Delhi,Consumer,2026-03-30
220,Customer 220,Kolkata,Small Business,2024-05-08
221,Customer 221,Ahmedabad,Small Business,2024-03-21
222,Customer 222,Bengaluru,Consumer,2024-08-28
223,Customer 223,Mumbai,Corporate,2025-12-02
224,Customer 224,Chennai,Consumer,2025-01-24
225,Customer 225,Kolkata,Small Business,2024-02-09
226,Customer 226,Bengaluru,Small Business,2024-07-20
227,Customer 227,Bengaluru,Consumer,2025-07-18
228,Customer 228,Delhi,Small Business,2024-07-17
229,Customer 229,Delhi,Consumer,2025-05-17
230,Customer 230,Hyderabad,Corporate,2025-11-28
231,Customer 231,Mumbai,Corporate,2024-11-04
232,Customer 232,Mumbai,Consumer,2026-03-07
233,Customer 233,Hyderabad,Consumer,2024-07-02
234,Customer 234,Mumbai,Small Business,2024-05-04
235,Customer 235,Ahmedabad,Small Business,2025-04-23
236,Customer 236,Kolkata,Small Business,2024-07-27
237,Customer 237,Hyderabad,Consumer,2025-06-25
238,Customer 238,Mumbai,Small Business,2024-12-09
239,Customer 239,Kolkata,Consumer,2025-08-03
240,Customer 240,Mumbai,Consumer,2024-07-14
241,Customer 241,Bengaluru,Consumer,2025-05-06
242,Customer 242,Hyderabad,Small Business,2024-01-28
243,Customer 243,Chennai,Small Business,2025-12-05
244,Customer 244,Hyderabad,Consumer,2025-08-17
245,Customer 245,Pune,Corporate,2025-03-05
246,Customer 246,Chennai,Consumer,2024-11-25
247,Customer 247,Pune,Consumer,2025-04-15
248,Customer 248,Ahmedabad,Corporate,2024-01-16
249,Customer 249,Delhi,Small Business,2024-08-09
250,Customer 250,Kolkata,Consumer,2024-04-18
